location,bucket_id,High-Frequency Acceleration_count,High-Frequency Acceleration_mean,High-Frequency Acceleration_std,High-Frequency Acceleration_min,High-Frequency Acceleration_max,Low-Frequency Acceleration Z_count,Low-Frequency Acceleration Z_mean,Low-Frequency Acceleration Z_std,Low-Frequency Acceleration Z_min,Low-Frequency Acceleration Z_max,Temperature_count,Temperature_mean,Temperature_std,Temperature_min,Temperature_max,Vibration Velocity Z_count,Vibration Velocity Z_mean,Vibration Velocity Z_std,Vibration Velocity Z_min,Vibration Velocity Z_max,alignment_status_rating,bearing_lubrication_rating,crest_factor_rating,electromagnetic_status_rating,fit_condition_rating,kurtosis_opt_rating,rms_10_25khz_rating,rms_1_10khz_rating,rotor_balance_status_rating,rubbing_condition_rating,velocity_rms_rating,peak_value_opt_rating,datetime,bucket_end
Gear Reducer,48,240,1.6172238333333333,0.07083235557963286,1.46482,1.7563,240,1.5160685,0.07013757543058023,1.36227,1.65955,240,42.93,0.24154315604940432,42.6,43.7,240,2.2596430416666666,0.38440784945159245,1.61029,2.96635,84.24,97.16,91.82,98.0,90.94,87.09,98.0,96.9,87.89,97.95,67.23,90.31,2025-04-01 15:40:05,2025-04-01 16:00:00
Gear Reducer,49,240,1.7407900416666666,0.17353128271993218,1.49889,2.31038,240,1.6687392916666668,0.1816593044049824,1.40674,2.2628,240,43.69541666666667,0.1912845624233193,43.2,44.0,240,2.47739075,0.5393729985215826,1.71834,3.98602,81.36,96.9,91.88,98.0,89.39,87.18,98.0,96.89,80.38,97.56,68.05,91.09,2025-04-01 16:00:05,2025-04-01 16:20:00
Gear Reducer,50,240,1.6610825416666666,0.08300913790877544,1.4872,1.86412,240,1.5693607916666668,0.08284695930387456,1.39606,1.77824,240,43.675,0.24020563017937355,43.0,44.0,240,2.366557,0.39173015257143534,1.6811,3.13754,81.15,97.01,91.71,98.0,89.2,87.32,98.0,96.88,80.68,97.76,68.49,91.68,2025-04-01 16:20:05,2025-04-01 16:40:00
Gear Reducer,51,240,1.6644863749999999,0.07336725898511193,1.4809,1.8672,240,1.5638444999999999,0.07215262695948654,1.36988,1.78286,240,43.49041666666667,0.21539064766562024,43.0,43.8,240,2.3994716666666664,0.37512849326147524,1.60913,3.14399,84.17,97.6,92.29,98.0,90.03,86.92,98.0,96.93,81.09,97.68,69.31,91.26,2025-04-01 16:40:05,2025-04-01 17:00:00
Gear Reducer,52,240,1.7844065833333334,0.20422546639194045,1.50834,2.33316,240,1.7171941666666666,0.21279813912729367,1.41979,2.2884,240,43.37166666666667,0.1406400987555282,43.0,43.6,240,2.5965612083333336,0.6299103705471131,1.72191,3.99313,86.82,97.39,91.32,98.0,91.3,86.73,98.0,96.9,87.33,98.06,69.74,89.48,2025-04-01 17:00:05,2025-04-01 17:20:00
Gear Reducer,53,240,1.661715625,0.08545939499990618,1.47846,1.90153,240,1.5748116666666665,0.08920904846814229,1.35393,1.82303,240,43.31666666666667,0.2542799608027137,42.7,43.6,240,2.3523697500000003,0.38695008439936235,1.66218,3.14317,80.61,97.45,91.99,98.0,89.39,87.31,98.0,96.87,83.21,97.54,69.37,90.74,2025-04-01 17:20:05,2025-04-01 17:40:00
Gear Reducer,54,240,1.6682255,0.08408438344104732,1.47964,1.87849,240,1.5812772083333333,0.08275382974438256,1.38925,1.79471,240,42.61875,0.21341637265483662,42.3,43.1,240,2.4841368333333333,0.3756126881314418,1.76031,3.23131,86.86,97.43,91.66,98.0,91.07,87.13,98.0,96.89,83.57,97.51,69.15,91.84,2025-04-01 17:40:05,2025-04-01 18:00:00
Gear Reducer,55,240,1.7768410416666667,0.1802728561178451,1.56356,2.31433,240,1.7095104166666668,0.18560521650977804,1.48219,2.26619,240,42.46666666666667,0.1419136005249187,42.2,42.7,240,2.6319477083333336,0.5846592091705629,1.77651,4.04548,81.82,97.29,92.12,98.0,90.07,86.99,98.0,96.79,83.6,97.82,72.31,89.56,2025-04-01 18:00:05,2025-04-01 18:20:00
Gear Reducer,56,240,1.636734375,0.08293990687183689,1.47314,1.94793,240,1.534597375,0.08582022936090039,1.37222,1.8602,240,42.09666666666667,0.321849605807932,41.7,42.7,240,2.3468675,0.3958254468146597,1.68817,3.23701,86.3,96.76,91.43,98.0,90.07,86.61,98.0,96.83,84.97,98.02,66.16,90.16,2025-04-01 18:20:05,2025-04-01 18:40:00
Gear Reducer,57,240,1.7591289166666668,0.18247182907603252,1.51904,2.27524,240,1.6845747083333333,0.19393933328896265,1.41602,2.22705,240,42.10666666666667,0.17295527916588257,41.7,42.3,240,2.6111461666666664,0.5775674399198216,1.75852,3.97952,79.18,97.9,91.16,98.0,86.37,87.21,98.0,96.97,87.08,98.38,71.0,90.81,2025-04-01 18:40:05,2025-04-01 19:00:00
